Location,Crash Type,Municipality,Year,Crash Count,Latitude,Longitude
E BROADWAY & GUELPH ST,Property damage only,VANCOUVER,2017,2,49.262518,-123.094952
BIRCH ST & W 10TH AVE,Property damage only,VANCOUVER,2017,1,49.262555,-123.133753
BURRARD ST & W 10TH AVE,Property damage only,VANCOUVER,2017,1,49.262749,-123.145796
BRUNSWICK ST & E BROADWAY,Property damage only,VANCOUVER,2017,4,49.262785,-123.097017
ARBUTUS ST & W 10TH AVE,Property damage only,VANCOUVER,2017,5,49.262861,-123.152974
CRANBERRY DR & W 10TH AVE,Property damage only,VANCOUVER,2017,1,49.262873,-123.1538
W 10TH AVE & YEW ST,Property damage only,VANCOUVER,2017,1,49.262898,-123.155334
E 8TH AVE & RUPERT ST,Property damage only,VANCOUVER,2017,3,49.262904,-123.03375
E BROADWAY & MAIN ST,Property damage only,VANCOUVER,2017,38,49.262912,-123.100967
E 8TH AVE & RENFREW ST,Property damage only,VANCOUVER,2017,2,49.262933,-123.044329
BLANCA ST & W 11TH AVE,Property damage only,VANCOUVER,2017,1,49.262986,-123.215266
E 8TH AVE & NANAIMO ST,Property damage only,VANCOUVER,2017,1,49.263065,-123.056571
ALBERTA ST & W BROADWAY,Property damage only,VANCOUVER,2017,8,49.263145,-123.110952
CAMBIE ST & W BROADWAY,Property damage only,VANCOUVER,2017,65,49.263205,-123.114853
E 8TH AVE & LAKEWOOD DR,Property damage only,VANCOUVER,2017,1,49.263211,-123.062027
BLENHEIM ST & W 10TH AVE,Property damage only,VANCOUVER,2017,2,49.26336,-123.177838
LAUREL ST & W BROADWAY,Property damage only,VANCOUVER,2017,16,49.263368,-123.124176
W 10TH AVE & WATERLOO ST,Property damage only,VANCOUVER,2017,2,49.26339,-123.179842
E 8TH AVE & ST CATHERINES ST,Property damage only,VANCOUVER,2017,1,49.263391,-123.085224
OAK ST & W BROADWAY,Property damage only,VANCOUVER,2017,32,49.263406,-123.126619
E 8TH AVE & PRINCE ALBERT ST,Property damage only,VANCOUVER,2017,2,49.263407,-123.087157
COLLINGWOOD ST & W 10TH AVE,Property damage only,VANCOUVER,2017,1,49.26342,-123.181884
ALMA ST & W 10TH AVE,Property damage only,VANCOUVER,2017,25,49.263481,-123.185898
ALDER ST & W BROADWAY,Property damage only,VANCOUVER,2017,9,49.263484,-123.131367
HIGHBURY ST & W 10TH AVE,Property damage only,VANCOUVER,2017,5,49.263533,-123.187814
FIR ST & W BROADWAY,Property damage only,VANCOUVER,2017,28,49.263614,-123.141026
E 8TH AVE & SCOTIA ST,Property damage only,VANCOUVER,2017,1,49.263661,-123.09894
PINE ST & W BROADWAY,Property damage only,VANCOUVER,2017,12,49.263662,-123.143414
BURRARD ST & W BROADWAY,Property damage only,VANCOUVER,2017,26,49.263701,-123.145756
COMMERCIAL DR & GRANDVIEW HWY N,Property damage only,VANCOUVER,2017,7,49.263743,-123.069767
SASAMAT ST & W 10TH AVE,Property damage only,VANCOUVER,2017,13,49.263835,-123.20912
COLUMBIA ST & W 8TH AVE,Property damage only,VANCOUVER,2017,2,49.263849,-123.109477
ALBERTA ST & W 8TH AVE,Property damage only,VANCOUVER,2017,2,49.263875,-123.11092
VINE ST & W BROADWAY,Property damage only,VANCOUVER,2017,13,49.2639,-123.157641
W 8TH AVE & YUKON ST,Property damage only,VANCOUVER,2017,5,49.263909,-123.112873
CAMBIE ST & W 8TH AVE,Property damage only,VANCOUVER,2017,45,49.26405,-123.114821
MACDONALD ST & W BROADWAY,Property damage only,VANCOUVER,2017,37,49.26408,-123.16816
MACKENZIE ST & W BROADWAY,Property damage only,VANCOUVER,2017,6,49.264093,-123.170073
E 7TH AVE & VICTORIA DR,Property damage only,VANCOUVER,2017,1,49.26415,-123.065867
BALACLAVA ST & W BROADWAY,Property damage only,VANCOUVER,2017,14,49.264173,-123.173993
